PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group
C PRN,C-N,C,,,10.0,07/25/2025,10/30/2015,10/30/2040,0.68,7.88%,,,1868.19,Bank,,65.0,,,,,,29.9,,,30.15,29.94,-0.83,-0.13,29.11,31.34,27.82,31.34,29.71,0.6,-1.63,52.03,47.18,72.92,29.86,-1.63,1.89,27.17,77.2,95421.0,98494.0,87344.0,93753.0,76.87,,,,465.93,1.0,9.0
CCIA,CCIA,CCIF,,Term,8.0,05/19/2025,10/31/2025,10/31/2028,0.18,8.75%,,,15.39,Cef,,88.0,,,,,,25.49,,,25.82,25.81,-1.29,-1.24,25.0,27.79,24.1,27.79,25.49,0.49,-2.3,54.26,51.12,74.9,39.1,-2.3,1.39,35.16,80.06,3807.0,4939.0,6088.0,4945.0,46.18,,,,384.27,1.0,1.0
CFG PRH,CFG-H,CFG,,,10.5,06/20/2025,7/6/2029,NONE,0.46,7.38%,,,433.40,Regionalbank,,30.0,,,,,,26.37,,,,,,,24.95,27.69,24.95,27.69,26.06,1.11,-1.63,44.14,40.14,63.75,29.86,-1.63,1.11,27.17,81.66,32149.0,25556.0,30566.0,29424.0,63.99,40.97,39.5,71.6,387.37,1.0,0.0
CGBDL,CGBDL,CGBD,,,8.0,05/15/2025,,,0.51,,,,72.90,Assetmanagement,,84.0,,,,,,25.28,,,25.73,25.66,-1.74,-1.49,25.05,26.66,25.05,26.66,25.25,0.2,-1.41,56.43,52.0,80.11,26.83,-1.41,0.2,24.55,86.86,8504.0,9765.0,6241.0,8170.0,51.28,,,,401.72,1.0,1.0
CHMI PRA,CHMI-A,CHMI,,,8.0,06/27/2025,8/17/2022,NONE,0.51,8.20%,22.65,19.6,32.66,Reit,,37.0,,,,,,21.26,1.66,-1.39,21.84,22.73,-2.66,-6.46,19.2,24.4,17.75,25.0,20.96,1.76,-3.44,60.88,69.62,52.07,54.83,-4.04,3.21,55.9,69.66,2838.0,2609.0,1750.0,2399.0,40.12,,,,414.79,1.0,2.0
CHMI PRB,CHMI-B,CHMI,FF,,8.0,06/27/2025,4/5/2024,NONE,0.64,8.25%,,,32.66,Reit,,37.0,,,,,,24.23,,,24.15,24.63,0.31,-1.62,22.23,25.38,20.2,25.6,23.85,1.62,-1.53,46.52,52.46,54.58,28.48,-1.75,3.65,28.6,67.14,4746.0,3807.0,1934.0,3496.0,40.12,,,,340.76,1.0,8.0
CHSCL,CHSCL,-,,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,-,-,,23.0,,,,,,26.03,0.96,-1.27,25.77,25.87,1.0,0.6,25.31,26.42,24.92,26.75,25.68,0.37,-0.74,43.18,44.59,77.06,17.59,-1.07,0.76,20.49,83.66,23408.0,24464.0,14431.0,20768.0,42.16,,,,335.27,1.0,9.0
CHSCL,CHSCL,-,,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,-,-,,23.0,,,,,,26.03,0.96,-1.27,25.77,25.87,1.0,0.6,25.31,26.42,24.92,26.75,25.68,0.37,-0.74,43.18,44.59,77.06,17.59,-1.07,0.76,20.49,83.66,23408.0,24464.0,14431.0,20768.0,42.16,,,,335.27,1.0,9.0
CHSCL,CHSCL,-,,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,-,-,,23.0,,,,,,26.03,0.96,-1.27,25.77,25.87,1.0,0.6,25.31,26.42,24.92,26.75,25.68,0.37,-0.74,43.18,44.59,77.06,17.59,-1.07,0.76,20.49,83.66,23408.0,24464.0,14431.0,20768.0,42.16,,,,335.27,1.0,9.0
CHSCL,CHSCL,-,,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,-,-,,23.0,,,,,,26.03,0.96,-1.27,25.77,25.87,1.0,0.6,25.31,26.42,24.92,26.75,25.68,0.37,-0.74,43.18,44.59,77.06,17.59,-1.07,0.76,20.49,83.66,23408.0,24464.0,14431.0,20768.0,42.16,,,,335.27,1.0,9.0
CHSCL,CHSCL,-,,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,-,-,,23.0,,,,,,26.03,0.96,-1.27,25.77,25.87,1.0,0.6,25.31,26.42,24.92,26.75,25.68,0.37,-0.74,43.18,44.59,77.06,17.59,-1.07,0.76,20.49,83.66,23408.0,24464.0,14431.0,20768.0,42.16,,,,335.27,1.0,9.0
CHSCM,CHSCM,-,,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,-,-,,23.0,,,,,,24.9,0.85,-1.5,24.89,25.17,0.04,-1.06,23.8,26.19,23.51,26.19,24.59,0.79,-1.6,47.82,50.48,69.51,29.45,-1.6,1.08,26.81,81.83,18296.0,18651.0,14023.0,16990.0,42.16,,,,356.66,1.0,9.0
CHSCM,CHSCM,-,,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,-,-,,23.0,,,,,,24.9,0.85,-1.5,24.89,25.17,0.04,-1.06,23.8,26.19,23.51,26.19,24.59,0.79,-1.6,47.82,50.48,69.51,29.45,-1.6,1.08,26.81,81.83,18296.0,18651.0,14023.0,16990.0,42.16,,,,356.66,1.0,9.0
CHSCM,CHSCM,-,,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,-,-,,23.0,,,,,,24.9,0.85,-1.5,24.89,25.17,0.04,-1.06,23.8,26.19,23.51,26.19,24.59,0.79,-1.6,47.82,50.48,69.51,29.45,-1.6,1.08,26.81,81.83,18296.0,18651.0,14023.0,16990.0,42.16,,,,356.66,1.0,9.0
CHSCM,CHSCM,-,,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,-,-,,23.0,,,,,,24.9,0.85,-1.5,24.89,25.17,0.04,-1.06,23.8,26.19,23.51,26.19,24.59,0.79,-1.6,47.82,50.48,69.51,29.45,-1.6,1.08,26.81,81.83,18296.0,18651.0,14023.0,16990.0,42.16,,,,356.66,1.0,9.0
CHSCM,CHSCM,-,,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,-,-,,23.0,,,,,,24.9,0.85,-1.5,24.89,25.17,0.04,-1.06,23.8,26.19,23.51,26.19,24.59,0.79,-1.6,47.82,50.48,69.51,29.45,-1.6,1.08,26.81,81.83,18296.0,18651.0,14023.0,16990.0,42.16,,,,356.66,1.0,9.0
CHSCN,CHSCN,-,,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,-,-,,23.0,,,,,,25.52,0.9,-0.78,25.33,25.59,0.76,-0.27,24.48,26.59,24.41,26.9,25.19,0.71,-1.4,44.34,47.68,70.94,26.69,-1.71,0.78,28.12,83.54,13343.0,13795.0,11246.0,12795.0,42.16,,,,343.7,1.0,9.0
CHSCN,CHSCN,-,,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,-,-,,23.0,,,,,,25.52,0.9,-0.78,25.33,25.59,0.76,-0.27,24.48,26.59,24.41,26.9,25.19,0.71,-1.4,44.34,47.68,70.94,26.69,-1.71,0.78,28.12,83.54,13343.0,13795.0,11246.0,12795.0,42.16,,,,343.7,1.0,9.0
CHSCN,CHSCN,-,,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,-,-,,23.0,,,,,,25.52,0.9,-0.78,25.33,25.59,0.76,-0.27,24.48,26.59,24.41,26.9,25.19,0.71,-1.4,44.34,47.68,70.94,26.69,-1.71,0.78,28.12,83.54,13343.0,13795.0,11246.0,12795.0,42.16,,,,343.7,1.0,9.0
CHSCN,CHSCN,-,,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,-,-,,23.0,,,,,,25.52,0.9,-0.78,25.33,25.59,0.76,-0.27,24.48,26.59,24.41,26.9,25.19,0.71,-1.4,44.34,47.68,70.94,26.69,-1.71,0.78,28.12,83.54,13343.0,13795.0,11246.0,12795.0,42.16,,,,343.7,1.0,9.0
CHSCN,CHSCN,-,,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,-,-,,23.0,,,,,,25.52,0.9,-0.78,25.33,25.59,0.76,-0.27,24.48,26.59,24.41,26.9,25.19,0.71,-1.4,44.34,47.68,70.94,26.69,-1.71,0.78,28.12,83.54,13343.0,13795.0,11246.0,12795.0,42.16,,,,343.7,1.0,9.0
CHSCO,CHSCO,-,,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,23.0,,,,,,26.28,0.65,-2.02,26.41,26.7,-0.47,-1.52,25.6,27.44,25.46,27.73,25.93,0.33,-1.51,50.29,52.11,77.78,28.21,-1.8,0.47,29.2,85.31,15863.0,18969.0,10987.0,15273.0,42.16,,,,367.83,1.0,0.0
CHSCO,CHSCO,-,,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,23.0,,,,,,26.28,0.65,-2.02,26.41,26.7,-0.47,-1.52,25.6,27.44,25.46,27.73,25.93,0.33,-1.51,50.29,52.11,77.78,28.21,-1.8,0.47,29.2,85.31,15863.0,18969.0,10987.0,15273.0,42.16,,,,367.83,1.0,0.0
CHSCO,CHSCO,-,,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,23.0,,,,,,26.28,0.65,-2.02,26.41,26.7,-0.47,-1.52,25.6,27.44,25.46,27.73,25.93,0.33,-1.51,50.29,52.11,77.78,28.21,-1.8,0.47,29.2,85.31,15863.0,18969.0,10987.0,15273.0,42.16,,,,367.83,1.0,0.0
CHSCO,CHSCO,-,,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,23.0,,,,,,26.28,0.65,-2.02,26.41,26.7,-0.47,-1.52,25.6,27.44,25.46,27.73,25.93,0.33,-1.51,50.29,52.11,77.78,28.21,-1.8,0.47,29.2,85.31,15863.0,18969.0,10987.0,15273.0,42.16,,,,367.83,1.0,0.0
CHSCO,CHSCO,-,,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,23.0,,,,,,26.28,0.65,-2.02,26.41,26.7,-0.47,-1.52,25.6,27.44,25.46,27.73,25.93,0.33,-1.51,50.29,52.11,77.78,28.21,-1.8,0.47,29.2,85.31,15863.0,18969.0,10987.0,15273.0,42.16,,,,367.83,1.0,0.0
CICB,CICB,CION,,,8.0,06/12/2025,12/30/2026,12/30/2029,0.47,7.50%,,,52.69,Assetmanagement,,22.0,,,,,,24.86,,,,,,,24.32,163.1,24.32,163.1,24.5,0.18,-138.6,44.14,40.14,80.47,16.48,-138.6,0.18,16.44,86.97,18921.0,13487.0,6502.0,12970.0,48.5,,,,344.28,1.0,4.0
CIM PRB,CIM-B,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.65,8.00%,,,80.92,Reit,,12.0,,,,,,25.06,,,24.47,24.76,2.41,1.2,21.6,25.59,18.83,25.59,24.5,2.9,-1.09,36.36,42.47,31.57,22.41,-1.09,5.67,20.73,55.6,26600.0,32643.0,28683.0,29309.0,43.09,51.91,63.89,79.6,302.6,1.0,2.0
CIM PRC,CIM-C,CIM,NFF,,8.0,06/02/2025,9/30/2025,NONE,0.48,7.75%,,,80.92,Reit,,12.0,,,,,,22.88,,,22.86,22.75,0.11,0.56,20.26,24.6,17.11,24.6,22.46,2.2,-2.14,47.48,44.74,44.16,36.9,-2.14,5.35,33.25,57.43,18821.0,17160.0,12155.0,16045.0,43.09,51.91,63.89,79.6,338.06,1.0,2.0
CIM PRD,CIM-D,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.64,8.00%,,,80.92,Reit,,12.0,,,,,,24.85,,,24.23,24.49,2.54,1.48,20.77,25.21,18.76,25.25,24.3,3.53,-0.91,35.73,41.48,20.25,19.93,-0.95,5.54,19.06,56.34,22182.0,18891.0,20276.0,20450.0,43.09,51.91,63.89,79.6,293.67,1.0,2.0
CIMN,CIMN,CIM,,BB,8.0,07/30/2025,5/15/2026,5/15/2029,0.56,9.00%,,,80.92,Reit,,70.0,,,,,,24.65,,,,,,,23.62,25.85,23.62,25.85,24.53,0.91,-1.32,44.14,40.14,67.35,25.59,-1.32,0.91,23.47,82.8,10965.0,10087.0,9418.0,10157.0,43.96,51.91,63.89,79.6,331.73,1.0,9.0
CIMO,CIMO,CIM,,,8.0,07/30/2025,8/15/2026,8/15/2029,0.58,9.25%,,,80.92,Reit,,70.0,,,,,,25.09,,,,,,,24.12,26.25,24.12,26.25,24.96,0.84,-1.29,44.14,40.14,68.61,25.17,-1.29,0.84,23.11,83.2,16467.0,13147.0,8409.0,12674.0,43.09,51.91,63.89,79.6,330.42,1.0,8.0
CMRE PRB,CMRE-B,CMRE,,,8.0,07/10/2025,8/6/2018,NONE,0.48,7.63%,25.18,24.82,119.96,Marineshipping,,50.0,,,,,,24.97,0.15,-0.21,25.45,25.69,-1.89,-2.81,24.02,26.34,22.13,28.16,24.76,0.74,-1.58,57.16,56.68,70.4,29.17,-3.4,2.63,48.27,72.97,1565.0,2224.0,3090.0,2293.0,47.34,,,,399.88,1.0,8.0
CMRE PRC,CMRE-C,CMRE,,,8.0,07/10/2025,1/21/2019,NONE,0.53,8.50%,25.32,25.17,119.96,Marineshipping,,50.0,,,,,,25.5,0.33,0.18,25.98,26.09,-1.84,-2.27,25.05,27.19,23.61,27.19,25.26,0.21,-1.93,56.92,54.77,79.93,34.0,-1.93,1.65,30.75,78.57,3258.0,3984.0,5382.0,4208.0,47.34,,,,397.48,1.0,1.0
CMRE PRD,CMRE-D,CMRE,,,8.0,07/10/2025,5/13/2020,NONE,0.55,8.75%,25.83,25.07,119.96,Marineshipping,,50.0,,,,,,26.2,1.13,0.37,26.32,26.29,-0.44,-0.35,24.54,27.29,24.54,27.29,25.96,1.42,-1.33,50.15,47.96,58.18,25.72,-1.33,1.42,23.59,79.89,3181.0,3231.0,2365.0,2925.0,47.34,,,,361.78,1.0,1.0
CNOBP,CNOBP,CNOB,NFF,,8.0,05/15/2025,9/1/2026,NONE,0.33,5.25%,,,38.47,Regionalbank,,84.0,,,,,,22.45,,,22.63,21.51,-0.78,4.37,20.29,23.42,14.63,23.42,22.43,2.14,-0.99,51.79,31.23,45.24,21.03,-0.99,7.8,19.54,43.43,5264.0,6300.0,13225.0,8263.0,49.68,,,,327.78,1.0,6.0
CODI PRA,CODI-A,CODI,,,8.0,06/17/2025,7/30/2022,NONE,0.45,7.25%,25.08,22.03,75.24,Conglomerates,,27.0,,,,,,12.99,-9.04,-12.09,21.97,23.44,-40.88,-44.59,12.85,25.11,12.85,26.06,12.68,-0.17,-12.43,44.14,40.14,86.76,16.48,-13.38,-0.17,16.44,88.97,10310.0,11412.0,27134.0,16285.0,31.91,,,,305.8,1.0,9.0
CODI PRB,CODI-B,CODI,,FF,8.0,06/17/2025,4/30/2028,NONE,0.49,7.88%,26.85,23.5,75.24,Conglomerates,,27.0,,,,,,15.22,-8.28,-11.63,22.4,23.79,-32.07,-36.02,15.15,25.08,15.15,26.5,14.88,-0.27,-10.2,44.14,40.14,88.56,16.48,-11.62,-0.27,16.44,89.54,40547.0,49132.0,73827.0,54502.0,31.91,,,,315.98,1.0,9.0
DBRG PRH,DBRG-H,DBRG,,,8.0,07/10/2025,4/15/2020,NONE,0.45,7.13%,24.5,21.28,176.33,Assetmanagement,,50.0,,,,,,,1.02,-2.2,23.55,23.9,-5.29,-6.69,20.74,25.8,17.91,25.8,22.1,1.36,-3.7,73.6,70.43,59.26,58.41,-3.7,4.19,51.85,64.06,10678.0,12224.0,34711.0,19204.0,42.16,,,,453.45,1.0,2.0
F PRD,F-D,F,,BB,8.0,04/30/2025,8/15/2027,8/15/2062,0.4,6.50%,,20.79,3980.84,Automanufacturers,,69.0,,,,,,21.57,0.78,,23.17,24.5,-6.91,-11.97,20.85,26.06,20.1,26.19,21.48,0.63,-4.58,81.44,89.15,72.38,70.55,-4.71,1.38,63.89,80.11,41985.0,54825.0,58522.0,51777.0,58.12,59.86,88.46,71.39,564.71,1.0,5.0
F PRD,F-D,F,,BB,8.0,04/30/2025,8/15/2027,8/15/2062,0.4,6.50%,,20.79,3980.84,Automanufacturers,,69.0,,,,,,21.57,0.78,,23.17,24.5,-6.91,-11.97,20.85,26.06,20.1,26.19,21.48,0.63,-4.58,81.44,89.15,72.38,70.55,-4.71,1.38,63.89,80.11,41985.0,54825.0,58522.0,51777.0,58.12,59.86,88.46,71.39,564.71,1.0,5.0
FCRX,FCRX,CCAP,,BB,11.0,05/30/2025,5/25/2023,5/25/2026,0.31,5.00%,,23.25,37.06,Assetmanagement,,9.0,,,,,,24.9,1.65,,24.7,24.45,0.79,1.86,23.91,25.0,22.5,25.0,24.62,0.71,-0.38,44.2,40.13,70.94,12.62,-0.38,2.12,12.27,75.89,5873.0,9533.0,6865.0,7424.0,42.16,,,,319.44,1.0,1.0
FGN,FGN,FG,,BB,8.5,05/30/2025,12/15/2028,12/15/2053,0.5,7.95%,,,134.94,Insurance,,9.0,,,,,,25.87,,,25.95,26.31,-0.29,-1.66,24.21,27.65,24.21,27.65,25.42,1.21,-2.23,49.42,52.61,61.96,38.14,-2.23,1.21,34.32,81.09,15773.0,14657.0,10612.0,13681.0,42.16,,,,364.91,1.0,0.0
FGSN,FGSN,FG,,,8.5,07/01/2025,1/15/2030,1/15/2065,0.46,7.30%,,,134.94,Insurance,,41.0,,,,,,23.59,,,,,,,20.51,25.02,20.51,25.02,23.34,2.83,-1.68,44.14,40.14,32.83,30.55,-1.68,2.83,27.76,71.83,24907.0,24907.0,17431.0,22415.0,42.16,,,,320.68,1.0,0.0
FHN PRB,FHN-B,FHN,NFF,,8.5,07/17/2025,8/1/2025,NONE,0.42,6.63%,,,506.74,Regionalbank,,57.0,,,,,,25.34,,,25.09,25.03,0.99,1.24,24.37,25.7,20.1,25.77,25.19,0.82,-0.51,43.23,42.33,68.97,14.41,-0.58,5.09,14.65,58.91,6609.0,5376.0,3615.0,5200.0,42.16,62.1,46.83,81.1,315.95,1.0,7.0
FHN PRC,FHN-C,FHN,NFF,,8.5,07/17/2025,5/1/2026,NONE,0.41,6.60%,,,506.74,Regionalbank,,57.0,,,,,,25.0,,,25.12,25.0,-0.49,0.02,23.95,25.75,19.11,25.77,24.85,0.9,-0.9,50.39,46.65,67.53,19.79,-0.92,5.74,18.7,55.2,2439.0,1968.0,1961.0,2122.0,42.16,62.1,46.83,81.1,339.16,1.0,7.0
FHN PRE,FHN-E,FHN,,,10.5,06/25/2025,10/10/2025,NONE,0.41,6.50%,,,506.74,Regionalbank,,35.0,,,,,,23.85,,,24.25,24.21,-1.64,-1.47,22.77,25.71,18.19,25.71,23.6,0.83,-2.11,55.95,51.93,68.79,36.48,-2.11,5.41,32.89,57.09,7869.0,8616.0,7523.0,8003.0,42.16,62.1,46.83,81.1,370.44,1.0,6.0
FITBI,FITBI,FITB,,,8.5,06/26/2025,12/31/2023,NONE,0.52,6.63%,,,667.97,Regionalbank,,36.0,,,,,,25.49,,,25.65,25.69,-0.62,-0.77,24.75,26.25,24.11,26.25,25.18,0.43,-1.07,51.02,49.45,75.98,22.14,-1.07,1.07,20.49,81.89,29734.0,34511.0,24441.0,29562.0,42.16,31.91,41.92,67.68,363.32,1.0,6.0
FITBI,FITBI,FITB,,,8.5,06/26/2025,12/31/2023,NONE,0.52,6.63%,,,667.97,Regionalbank,,36.0,,,,,,25.49,,,25.65,25.69,-0.62,-0.77,24.75,26.25,24.11,26.25,25.18,0.43,-1.07,51.02,49.45,75.98,22.14,-1.07,1.07,20.49,81.89,29734.0,34511.0,24441.0,29562.0,42.16,31.91,41.92,67.68,363.32,1.0,6.0
FLG PRA,FLG-A,FLG,,,8.0,06/06/2025,6/17/2027,NONE,0.4,6.38%,,,415.83,Regionalbank,,16.0,,,,,,22.47,,,22.4,20.76,0.35,8.29,19.69,24.15,8.5,24.15,22.15,2.46,-2.0,46.32,17.34,39.48,34.97,-2.0,13.65,31.58,10.0,36632.0,36449.0,29862.0,34314.0,49.41,,,,292.99,1.0,3.0
FRMEP,FRMEP,FRME,,,8.0,07/28/2025,8/15/2025,NONE,0.47,7.50%,26.0,23.23,58.20,Regionalbank,,68.0,,,,,,25.5,2.27,-0.5,25.37,25.39,0.52,0.45,23.38,25.9,22.79,26.43,25.39,2.01,-0.51,45.5,45.13,47.57,14.41,-1.04,2.6,20.13,73.14,781.0,999.0,493.0,757.0,54.29,,,,355.2,1.0,1.0
GAINI,GAINI,GAIN,,,8.0,07/14/2025,2/1/2027,2/1/2030,0.49,7.88%,,,36.84,Assetmanagement,,54.0,,,,,,25.32,,,,,,,24.6,25.53,24.6,25.53,25.12,0.52,-0.41,44.14,40.14,74.36,13.03,-0.41,0.52,12.62,85.03,27646.0,26096.0,10116.0,21286.0,56.65,,,,362.8,1.0,8.0
GAINL,GAINL,GAIN,,BB,8.0,07/15/2025,8/1/2025,8/1/2028,0.5,8.00%,,25.07,36.84,Assetmanagement,,55.0,,,,,,25.46,0.39,,25.69,25.75,-0.9,-1.13,25.27,26.66,24.7,27.13,25.27,0.0,-1.39,52.37,50.73,83.71,26.55,-1.86,0.57,29.91,84.74,3410.0,3359.0,1848.0,2872.0,57.78,,,,407.09,1.0,1.0
GAINN,GAINN,GAIN,,BB,8.0,07/11/2025,5/1/2023,5/1/2026,0.31,5.00%,23.85,23.23,36.84,Assetmanagement,,51.0,,,,,,24.97,1.74,1.12,24.81,24.55,0.63,1.71,24.2,25.28,23.0,25.28,24.84,0.64,-0.44,44.97,40.66,72.2,13.45,-0.44,1.84,12.98,77.49,7613.0,6791.0,2192.0,5532.0,57.78,,,,361.79,1.0,9.0
GAINZ,GAINZ,GAIN,,BB,8.0,07/11/2025,11/1/2023,11/1/2028,0.31,4.75%,23.45,21.85,36.84,Assetmanagement,,51.0,,,,,,23.1,1.25,-0.35,23.11,23.18,-0.04,-0.36,22.21,24.16,21.38,24.76,22.97,0.76,-1.19,48.21,48.0,70.04,23.79,-1.79,1.59,29.08,78.91,3336.0,3788.0,2602.0,3242.0,57.78,,,,387.32,1.0,8.0
GAM PRB,GAM-B,GAM,,,8.0,06/09/2025,9/24/2008,NONE,0.37,5.95%,26.21,24.28,27.06,Cef,,19.0,,,,,,24.99,0.71,-1.22,24.97,25.18,0.07,-0.76,24.55,26.24,23.74,26.24,24.7,0.15,-1.54,47.68,49.42,81.01,28.62,-1.54,0.96,26.1,82.51,8381.0,10788.0,5647.0,8272.0,59.02,,,,397.21,1.0,8.0
GECCH,GECCH,GECC,,BB,8.0,06/13/2025,12/30/2026,12/31/2029,0.5,8.13%,,,11.54,Assetmanagement,,23.0,,,,,,25.2,,,,,,,24.38,25.44,24.38,25.44,24.83,0.45,-0.61,44.14,40.14,75.62,15.79,-0.61,0.45,15.01,85.43,6382.0,5361.0,2288.0,4677.0,45.07,,,,331.42,1.0,1.0
GECCI,GECCI,GECC,,,8.0,06/13/2025,4/30/2026,4/30/2029,0.53,8.50%,,,11.54,Assetmanagement,,23.0,,,,,,25.14,,,25.17,25.19,-0.12,-0.19,24.75,25.7,24.67,25.7,24.75,0.0,-0.95,48.6,47.39,83.71,20.48,-0.95,0.08,19.06,87.54,1284.0,1414.0,529.0,1076.0,44.19,,,,355.3,1.0,1.0
GECCO,GECCO,GECC,,BB,8.0,06/13/2025,6/30/2023,6/30/2026,0.36,5.88%,24.75,24.05,11.54,Assetmanagement,,23.0,,,,,,25.06,1.01,0.31,25.13,24.83,-0.29,0.91,24.26,26.55,23.0,26.55,24.79,0.53,-1.76,49.42,43.5,74.18,31.66,-1.76,1.79,28.72,77.77,1192.0,1429.0,561.0,1060.0,45.07,,,,352.58,1.0,1.0
GECCZ,GECCZ,GECC,,BB,8.0,06/13/2025,9/30/2025,9/30/2028,0.54,8.75%,,24.64,11.54,Assetmanagement,,,,,,,,25.4,,,,,,,,,,,25.4,,,44.14,40.14,50.45,16.48,,,16.44,63.89,,1774.0,1018.0,1396.0,45.07,,,,318.38,1.0,1.0
GLADZ,GLADZ,GLAD,,BB,8.0,05/15/2025,9/1/2025,9/1/2028,0.48,7.75%,,25.02,22.33,Cef,,84.0,,,,,,25.45,0.43,,25.54,25.45,-0.34,0.02,24.97,25.98,24.45,25.98,25.42,0.45,-0.56,49.66,46.65,75.62,15.1,-0.56,0.97,14.41,82.46,4332.0,4799.0,3184.0,4105.0,56.42,,,,381.65,1.0,1.0
GMRE PRA,GMRE-A,GMRE,,,8.0,07/11/2025,9/15/2022,NONE,0.47,7.50%,25.54,24.46,66.88,Reit,,51.0,,,,,,24.91,0.45,-0.63,25.06,25.1,-0.6,-0.74,23.38,26.26,23.32,26.26,24.71,1.33,-1.55,50.92,49.34,59.8,28.76,-1.55,1.39,26.21,80.06,4467.0,3652.0,2610.0,3576.0,40.22,,,,350.06,1.0,1.0
MER PRK,MER-K,BAC,,TP,11.5,06/12/2025,12/15/2011,12/15/2066,0.4,6.45%,26.45,24.62,7537.21,Bank,,22.0,,,,,,25.43,0.81,-1.02,25.71,25.73,-1.08,-1.17,25.18,26.64,24.51,26.64,25.13,-0.05,-1.51,53.24,50.87,84.61,28.21,-1.51,0.62,25.74,84.46,29629.0,27180.0,26861.0,27890.0,80.51,51.83,54.15,75.47,471.83,1.0,0.0
MER PRK,MER-K,BAC,,TP,11.5,06/12/2025,12/15/2011,12/15/2066,0.4,6.45%,26.45,24.62,7537.21,Bank,,22.0,,,,,,25.43,0.81,-1.02,25.71,25.73,-1.08,-1.17,25.18,26.64,24.51,26.64,25.13,-0.05,-1.51,53.24,50.87,84.61,28.21,-1.51,0.62,25.74,84.46,29629.0,27180.0,26861.0,27890.0,80.51,51.83,54.15,75.47,471.83,1.0,0.0
MER PRK,MER-K,BAC,,TP,11.5,06/12/2025,12/15/2011,12/15/2066,0.4,6.45%,26.45,24.62,7537.21,Bank,,22.0,,,,,,25.43,0.81,-1.02,25.71,25.73,-1.08,-1.17,25.18,26.64,24.51,26.64,25.13,-0.05,-1.51,53.24,50.87,84.61,28.21,-1.51,0.62,25.74,84.46,29629.0,27180.0,26861.0,27890.0,80.51,51.83,54.15,75.47,471.83,1.0,0.0
MER PRK,MER-K,BAC,,TP,11.5,06/12/2025,12/15/2011,12/15/2066,0.4,6.45%,26.45,24.62,7537.21,Bank,,22.0,,,,,,25.43,0.81,-1.02,25.71,25.73,-1.08,-1.17,25.18,26.64,24.51,26.64,25.13,-0.05,-1.51,53.24,50.87,84.61,28.21,-1.51,0.62,25.74,84.46,29629.0,27180.0,26861.0,27890.0,80.51,51.83,54.15,75.47,471.83,1.0,0.0
